Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_26.vsi - 40x_03 #5,c8c204a4-7b87-49ce-878a-609f6bc57dbc,OVLT,,Image,Polygon,2133.8,1661.4,398,7,1,1,389,2.261,3.015,2,1,3,91839,1569.1
Image_26.vsi - 40x_03 #5,b28a5dcb-2cfc-4d63-9a67-1805a526ef22,AVPE,,Image,Polygon,2019.3,1680.7,1964,96,19,17,1832,6.721,9.42,2,1,3,693825.1,4675.7
Image_26.vsi - 40x_03 #5,02e404ea-b0ec-4534-9003-2f4cd74d2d2f,MnPO,,Image,Polygon,1103.6,1654.7,723,18,1,1,703,2.766,3.181,2,1,3,296615.7,2520.6
Image_26.vsi - 40x_03 #5,eb1b1922-6a10-42b4-8777-8707a588c53c,LPO,,Image,Rectangle,933.39,2605.3,1318,31,10,6,1271,3.566,5.235,2,1,3,706249.1,3364.1
Image_27.vsi - 40x_02 #3,363af4b2-2b74-4375-a031-e5c6ec9cdc8c,OVLT,,Image,Polygon,575.64,1344,356,5,3,1,347,2.528,3.933,2,1,3,87480.8,1147.4
Image_27.vsi - 40x_02 #3,a1556c87-bebd-42de-aec1-4a02d8f4ee73,AVPE,,Image,Polygon,877.92,1270.9,1615,119,20,8,1468,9.102,11.33,2,1,3,706461.2,4008.4
Image_27.vsi - 40x_02 #3,f978717d-3aef-4599-bdfd-021c352c3d94,MnPO,,Image,Polygon,1794.7,1124.2,706,22,2,1,681,3.541,4.108,2,1,3,315276.9,2838.1
Image_27.vsi - 40x_02 #3,cab69d8a-9d63-4abc-a0d1-2956464ee066,LPO,,Image,Rectangle,2104.4,2175.2,1148,13,3,1,1131,1.481,1.916,2,1,3,601600.6,3106
Image_27.vsi - 40x_03 #5,abfa8bda-3eb6-40a3-9285-e33c63a64d05,AVPE,,Image,Polygon,2433.3,1892.6,1758,64,8,4,1682,4.323,5.233,2,1,3,702366.1,4387.9
Image_27.vsi - 40x_03 #5,8ffc60bc-4931-4d73-9aff-03992a928a14,MnPO,,Image,Polygon,1654.6,1834.7,508,17,2,0,489,3.74,4.134,2,1,3,203940.9,2235.6
Image_27.vsi - 40x_03 #5,44e1e936-522f-4738-b80d-e5b78887ab9f,LPO,,Image,Rectangle,1603.5,2864.8,1048,44,3,0,1001,4.485,4.771,2,1,3,599441.5,3097
Image_27.vsi - 40x_04 #7,2770b16b-d725-4149-a5b3-462dd4f9ca1b,AVPE,,Image,Polygon,774.08,1331.1,1697,136,16,16,1529,9.9,12.73,2,1,3,702366.4,4361.1
