Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,sp6-thresh: pS6 area µm^2,Num Detections,Num pS6,Area µm^2,Perimeter µm
Image_06.vsi - 40x_05,28ba85fe-29d6-4e78-a9cd-89fd84206a7d,MnPO,,Image,Polygon,380.97,670.22,1923.7781,19,19,273292.8,2496.9
Image_06.vsi - 40x_05,e2d5ba8b-17ae-4393-a5d5-6c2fa7dd32e4,AVPE,,Image,Geometry,650.31,1637.6,6497.9365,53,53,705910.8,5431.9
Image_06.vsi - 40x_05,970578dc-cce4-42a9-baa9-902381fbca1e,MPO_x05,,Image,Geometry,1195,963.93,19906.502,161,161,999212.6,4084.4
Image_06.vsi - 40x_06,f9b880b5-bb86-4989-a119-2729af4bbac1,Cg,,Image,Rectangle,581.09,626.02,14701.5146,126,126,508009.6,2853.9
Image_06.vsi - 40x_07,0476059e-47c0-4895-90d0-e9b1071af3c1,Cg,,Image,Rectangle,570.36,799.75,14275.54,140,140,504231.8,2841
Image_07.vsi - 40x_01,95f6694b-8943-46f4-ba91-33f01a9e521d,AVPE,,Image,Geometry,1461.2,1590.2,14887.6738,118,118,702573.9,3616.6
Image_07.vsi - 40x_01,0e0df55a-2f62-4dc1-aa4d-0380f28da190,MnPO,,Image,Polygon,1398.5,747.06,2134.6794,19,19,320491.7,2716.6
Image_07.vsi - 40x_01,8ff1faad-dfbd-43a6-bb3a-d8b5e3abbb25,MPO,,Image,Geometry,1416.3,920.98,23647.0625,221,221,1766312.4,7807.8
Image_07.vsi - 40x_01,c992d1e4-85e1-4c96-a448-70ae3c1410ab,NDB,,Image,Polygon,335.64,2109.7,21994.7598,115,115,261688.6,1958.9
Image_07.vsi - 40x_02,a840eea0-e280-48e0-a31a-0a804ad92ac4,AVPE,,Image,Polygon,2106,1735.9,9229.1436,54,54,718764.5,4274.3
Image_07.vsi - 40x_02,60480498-171e-4613-bb2d-754e070cd341,MnPO,,Image,Polygon,1914,895.05,748.7036,1,1,290324.2,2616.5
Image_07.vsi - 40x_02,62396ee8-432d-448d-88d7-1c9273db005f,MPO,,Image,Geometry,2006.8,1035.4,10955.2764,85,85,1742598.7,7498.2
Image_07.vsi - 40x_02,f7925d78-10f8-42e9-81e8-126114194976,NDB,,Image,Polygon,402.02,2278.9,8612.415,63,63,235643.3,1884.4
Image_07.vsi - 40x_03,dd58e770-fd65-40a3-8095-3b9ee7651163,AVPE,,Image,Polygon,1981.3,1784.6,5045.8408,40,40,701356.4,4705.4
Image_07.vsi - 40x_03,112e761c-f0a6-47c6-99bc-ee558f3ca02c,MnPO,,Image,Polygon,1909.3,904.67,685.4623,6,6,325978.5,2676.6
Image_07.vsi - 40x_03,28122e0b-9b78-4945-83df-f613ee60e347,MPO,,Image,Geometry,1915.3,994.1,6276.6841,54,54,1770924.8,7431.9
Image_07.vsi - 40x_03,f45d792d-67f5-4e59-a98b-5dfe3c08d39a,NDB,,Image,Polygon,335.25,2287.1,9139.0479,69,69,291918.3,2019.8
Image_07.vsi - 40x_05,2fdd57ee-3bff-4cf9-a9e5-43459d4cd1b6,Cg,,Image,Polygon,494.97,491.45,12234.3623,118,118,492182.2,3084.2
Image_07.vsi - 40x_06,ffba1538-ed62-4b90-9895-c0ad6b77d68d,Cg,,Image,Rectangle,488.14,339.36,33260.0625,263,263,510488.1,2868
Image_07.vsi - 40x_07,0cbeedf0-fa49-4245-99de-f4f8bd114036,Cg,,Image,Rectangle,278.41,649.9,10432.7363,88,88,508049,2938.5
Image_08.vsi - 40x_02,aec25035-e58b-41e8-a1cf-3ed059a280c1,AVPE_x05,,Image,Geometry,709.35,1086.2,20851.7422,145,145,394093.9,3155.1
