"Date and Time","Time (seconds)","60 deg N day90 lock (lx)"
"2021-03-13 12:39:46",92106.0,289.0264
"2021-03-13 12:44:47",92407.0,289.0264
"2021-03-13 12:49:48",92708.0,289.0264
"2021-03-13 12:54:49",93009.0,289.0264
"2021-03-13 12:59:50",93310.0,289.0264
"2021-03-13 13:04:51",93611.0,289.0264
"2021-03-13 13:09:52",93912.0,289.0264
"2021-03-13 13:14:53",94213.0,289.0264
"2021-03-13 13:19:54",94514.0,289.0264
"2021-03-13 13:24:55",94815.0,289.0264
"2021-03-13 13:29:56",95116.0,289.0264
"2021-03-13 13:34:57",95417.0,289.0264
"2021-03-13 13:39:58",95718.0,289.0264
"2021-03-13 13:44:59",96019.0,289.0264
"2021-03-13 13:50:00",96320.0,289.0264
"2021-03-13 13:55:01",96621.0,289.0264
"2021-03-13 14:00:02",96922.0,289.0264
"2021-03-13 14:05:03",97223.0,289.0264
"2021-03-13 14:10:04",97524.0,289.0264
"2021-03-13 14:15:05",97825.0,289.0264
"2021-03-13 14:20:06",98126.0,289.0264
"2021-03-13 14:25:07",98427.0,289.0264
"2021-03-13 14:30:08",98728.0,289.0264
"2021-03-13 14:35:09",99029.0,302.3213
"2021-03-13 14:40:10",99330.0,289.0264
"2021-03-13 14:45:11",99631.0,289.0264
"2021-03-13 14:50:12",99932.0,289.0264
"2021-03-13 14:55:13",100233.0,289.0264
"2021-03-13 15:00:14",100534.0,289.0264
"2021-03-13 15:05:15",100835.0,276.3161
"2021-03-13 15:10:16",101136.0,276.3161
"2021-03-13 15:15:17",101437.0,264.1648
"2021-03-13 15:20:18",101738.0,241.4418
"2021-03-13 15:25:19",102039.0,241.4418
"2021-03-13 15:30:20",102340.0,220.6734
"2021-03-13 15:35:21",102641.0,201.6915
"2021-03-13 15:40:22",102942.0,201.6915
"2021-03-13 15:45:23",103243.0,184.3423
"2021-03-13 15:50:24",103544.0,168.4855
"2021-03-13 15:55:25",103845.0,147.2207
"2021-03-13 16:00:26",104146.0,147.2207
"2021-03-13 16:05:27",104447.0,128.6397
"2021-03-13 16:10:28",104748.0,112.4039
"2021-03-13 16:15:29",105049.0,112.4039
"2021-03-13 16:20:30",105350.0,98.2172
"2021-03-13 16:25:31",105651.0,82.0470
"2021-03-13 16:30:32",105952.0,82.0470
"2021-03-13 16:35:33",106253.0,68.5390
"2021-03-13 16:40:34",106554.0,57.2549
"2021-03-13 16:45:35",106855.0,54.7370
"2021-03-13 16:50:36",107156.0,47.8286
"2021-03-13 16:55:37",107457.0,41.7921
"2021-03-13 17:00:38",107758.0,41.7921
"2021-03-13 17:05:39",108059.0,41.7921
"2021-03-13 17:10:40",108360.0,34.9115
"2021-03-13 17:15:41",108661.0,29.1638
"2021-03-13 17:20:42",108962.0,29.1638
"2021-03-13 17:25:43",109263.0,24.3623
"2021-03-13 17:30:44",109564.0,20.3514
"2021-03-13 17:35:45",109865.0,20.3514
"2021-03-13 17:40:46",110166.0,15.5384
"2021-03-13 17:45:47",110467.0,12.4094
"2021-03-13 17:50:48",110768.0,9.9105
"2021-03-13 17:55:49",111069.0,9.9105
"2021-03-13 18:00:50",111370.0,7.9148
"2021-03-13 18:05:51",111671.0,6.6117
"2021-03-13 18:10:52",111972.0,6.6117
"2021-03-13 18:15:53",112273.0,5.5232
"2021-03-13 18:20:54",112574.0,5.0481
"2021-03-13 18:25:55",112875.0,5.0481
"2021-03-13 18:30:56",113176.0,4.4109
"2021-03-13 18:35:57",113477.0,4.0315
"2021-03-13 18:40:58",113778.0,4.0315
"2021-03-13 18:45:59",114079.0,3.6847
"2021-03-13 18:51:00",114380.0,3.6847
"2021-03-13 18:56:01",114681.0,3.6847
"2021-03-13 19:01:02",114982.0,3.6847
"2021-03-13 19:06:03",115283.0,3.5227
"2021-03-13 19:11:04",115584.0,3.5227
"2021-03-13 19:16:05",115885.0,3.5227
"2021-03-13 19:21:06",116186.0,3.5227
"2021-03-13 19:26:07",116487.0,3.5227
"2021-03-13 19:31:08",116788.0,3.5227
"2021-03-13 19:36:09",117089.0,3.5227
"2021-03-13 19:41:10",117390.0,3.5227
"2021-03-13 19:46:11",117691.0,3.5227
"2021-03-13 19:51:12",117992.0,3.5227
"2021-03-13 19:56:13",118293.0,3.5227
"2021-03-13 20:01:14",118594.0,3.5227
"2021-03-13 20:06:15",118895.0,3.5227
"2021-03-13 20:11:16",119196.0,3.5227
"2021-03-13 20:16:17",119497.0,3.5227
"2021-03-13 20:21:18",119798.0,3.5227
"2021-03-13 20:26:19",120099.0,3.5227
"2021-03-13 20:31:20",120400.0,3.5227
"2021-03-13 20:36:21",120701.0,3.5227
"2021-03-13 20:41:22",121002.0,3.5227
"2021-03-13 20:46:23",121303.0,3.5227
"2021-03-13 20:51:24",121604.0,3.5227
"2021-03-13 20:56:25",121905.0,3.5227
"2021-03-13 21:01:26",122206.0,3.5227
"2021-03-13 21:06:27",122507.0,3.5227
"2021-03-13 21:11:28",122808.0,3.5227
"2021-03-13 21:16:29",123109.0,3.5227
"2021-03-13 21:21:30",123410.0,3.5227
"2021-03-13 21:26:31",123711.0,3.5227
"2021-03-13 21:31:32",124012.0,3.5227
"2021-03-13 21:36:33",124313.0,3.5227
"2021-03-13 21:41:34",124614.0,3.5227
"2021-03-13 21:46:35",124915.0,3.5227
"2021-03-13 21:51:36",125216.0,3.5227
"2021-03-13 21:56:37",125517.0,3.5227
"2021-03-13 22:01:38",125818.0,3.5227
"2021-03-13 22:06:39",126119.0,3.5227
"2021-03-13 22:11:40",126420.0,3.5227
"2021-03-13 22:16:41",126721.0,3.5227
"2021-03-13 22:21:42",127022.0,3.5227
"2021-03-13 22:26:43",127323.0,3.5227
"2021-03-13 22:31:44",127624.0,3.5227
"2021-03-13 22:36:45",127925.0,3.5227
"2021-03-13 22:41:46",128226.0,3.5227
"2021-03-13 22:46:47",128527.0,3.5227
"2021-03-13 22:51:48",128828.0,3.5227
"2021-03-13 22:56:49",129129.0,3.5227
"2021-03-13 23:01:50",129430.0,3.5227
"2021-03-13 23:06:51",129731.0,3.5227
"2021-03-13 23:11:52",130032.0,3.5227
