"Date and Time","Time (seconds)","iSBJORN19/3-19/4 (lx)"
"2021-03-23 03:41:03",577800.0,192.8219
"2021-03-23 04:11:03",579600.0,210.9691
"2021-03-23 04:41:03",581400.0,192.8219
"2021-03-23 05:11:03",583200.0,220.6734
"2021-03-23 05:41:03",585000.0,220.6734
"2021-03-23 06:11:03",586800.0,210.9691
"2021-03-23 06:41:03",588600.0,192.8219
"2021-03-23 07:11:03",590400.0,192.8219
"2021-03-23 07:41:03",592200.0,201.6915
"2021-03-23 08:11:03",594000.0,220.6734
"2021-03-23 08:41:03",595800.0,210.9691
"2021-03-23 09:11:03",597600.0,192.8219
"2021-03-23 09:41:03",599400.0,192.8219
"2021-03-23 10:11:03",601200.0,192.8219
"2021-03-23 10:41:03",603000.0,201.6915
"2021-03-23 11:11:03",604800.0,192.8219
"2021-03-23 11:41:03",606600.0,220.6734
"2021-03-23 12:11:03",608400.0,220.6734
"2021-03-23 12:41:03",610200.0,220.6734
"2021-03-23 13:11:03",612000.0,220.6734
"2021-03-23 13:41:03",613800.0,220.6734
"2021-03-23 14:11:03",615600.0,220.6734
"2021-03-23 14:41:03",617400.0,201.6915
"2021-03-23 15:11:03",619200.0,201.6915
"2021-03-23 15:41:03",621000.0,220.6734
"2021-03-23 16:11:03",622800.0,220.6734
"2021-03-23 16:41:03",624600.0,220.6734
"2021-03-23 17:11:03",626400.0,192.8219
"2021-03-23 17:41:03",628200.0,220.6734
"2021-03-23 18:11:03",630000.0,220.6734
"2021-03-23 18:41:03",631800.0,220.6734
"2021-03-23 19:11:03",633600.0,4.8261
"2021-03-23 19:41:03",635400.0,4.8261
"2021-03-23 20:11:03",637200.0,4.8261
"2021-03-23 20:41:03",639000.0,4.8261
"2021-03-23 21:11:03",640800.0,4.8261
"2021-03-23 21:41:03",642600.0,4.6138
"2021-03-23 22:11:03",644400.0,4.8261
"2021-03-23 22:41:03",646200.0,4.8261
"2021-03-23 23:11:03",648000.0,4.8261
"2021-03-23 23:41:03",649800.0,4.8261
"2021-03-24 00:11:03",651600.0,4.8261
"2021-03-24 00:41:03",653400.0,4.8261
"2021-03-24 01:11:03",655200.0,4.8261
"2021-03-24 01:41:03",657000.0,4.8261
"2021-03-24 02:11:03",658800.0,4.8261
"2021-03-24 02:41:03",660600.0,4.8261
"2021-03-24 03:11:03",662400.0,201.6915
"2021-03-24 03:41:03",664200.0,210.9691
