"datetime","BAT"
2021-07-28 15:23:09,11
2021-07-28 15:23:15,10.9
2021-07-28 15:23:26,11
2021-07-28 15:23:43,10.9
2021-07-28 15:23:49,10.9
2021-07-28 15:23:55,11
2021-07-28 15:24:01,10.9
2021-07-28 15:24:12,11
2021-07-28 15:24:18,11
2021-07-28 15:24:23,10.9
2021-07-28 15:24:29,10.9
2021-07-28 15:24:35,10.9
2021-07-28 15:24:41,10.9
2021-07-28 15:24:46,10.9
2021-07-28 15:24:52,11
2021-07-28 15:25:03,11
2021-07-28 15:25:21,11
2021-07-28 15:25:26,10.9
2021-07-28 15:25:32,11
2021-07-28 15:25:50,11
2021-07-28 15:25:55,11
2021-07-28 15:26:01,11
2021-07-28 15:26:12,11
2021-07-28 15:26:24,11
2021-07-28 15:26:53,11
2021-07-28 15:27:04,11
2021-07-28 15:27:10,11
2021-07-28 15:27:22,11
2021-07-28 15:27:27,11
2021-07-28 15:27:33,11
2021-07-28 15:27:39,11
2021-07-28 15:27:51,11
2021-07-28 15:27:56,11
2021-07-28 15:28:02,11
2021-07-28 15:28:14,10.9
2021-07-28 15:28:31,11
2021-07-28 15:28:37,11
2021-07-28 15:28:42,11
2021-07-28 15:28:48,11
2021-07-28 15:28:54,11
2021-07-28 15:29:00,11
2021-07-28 15:29:12,11
2021-07-28 15:29:17,11
2021-07-28 15:29:23,11
2021-07-28 15:29:29,11
2021-07-28 15:29:34,10.9
2021-07-28 15:29:40,10.9
2021-07-28 15:29:52,10.9
2021-07-28 15:30:03,11
2021-07-28 15:30:09,11
2021-07-28 15:30:14,11
2021-07-28 15:30:26,10.9
2021-07-28 15:30:44,11
2021-07-28 15:30:55,11
2021-07-28 15:31:01,11
2021-07-28 15:31:13,11.1
2021-07-28 15:31:30,11
2021-07-28 15:31:36,11
2021-07-28 15:31:42,11
2021-07-28 15:31:48,11
2021-07-28 15:31:53,11
2021-07-28 15:31:59,11
2021-07-28 15:32:16,11
2021-07-28 15:32:22,11
2021-07-28 15:32:28,11
2021-07-28 15:32:34,11
2021-07-28 15:32:46,11
2021-07-28 15:33:03,11
2021-07-28 15:33:09,11
2021-07-28 15:33:32,11
2021-07-28 15:33:38,11
2021-07-28 15:33:44,11
2021-07-28 15:33:55,11
2021-07-28 15:34:01,11
2021-07-28 15:34:12,11
2021-07-28 15:34:24,11
2021-07-28 15:34:30,11
2021-07-28 15:34:36,11
2021-07-28 15:34:41,11
2021-07-28 15:34:53,11
2021-07-28 15:34:58,11
2021-07-28 15:35:04,11
2021-07-28 15:35:16,10.8
2021-07-28 15:35:27,11
2021-07-28 15:35:39,11
2021-07-28 15:35:44,11
2021-07-28 15:35:51,11
2021-07-28 15:35:57,11
2021-07-28 15:36:02,11
2021-07-28 15:36:08,11
2021-07-28 15:36:31,11
2021-07-28 15:36:49,11
2021-07-28 15:36:55,11.1
2021-07-28 15:37:06,11.1
2021-07-28 15:37:12,11
2021-07-28 15:37:18,11
2021-07-28 15:37:29,11
2021-07-28 15:37:34,11
2021-07-28 15:37:47,11
2021-07-28 15:37:53,11
2021-07-28 15:37:58,11
2021-07-28 15:38:10,11
2021-07-28 15:38:16,11
2021-07-28 15:38:45,11
2021-07-28 15:38:50,11
2021-07-28 15:38:56,11
2021-07-28 15:39:02,11
2021-07-28 15:39:19,11
2021-07-28 15:39:24,11
2021-07-28 15:39:42,11
2021-07-28 15:39:53,11
2021-07-28 15:39:59,11
2021-07-28 15:40:05,11
2021-07-28 15:40:11,11.1
2021-07-28 15:40:16,11
2021-07-28 15:40:34,11
2021-07-28 15:40:45,11
2021-07-28 15:40:51,11.1
2021-07-28 15:40:57,10.9
2021-07-28 15:41:14,11.1
2021-07-28 15:41:20,11
2021-07-28 15:41:26,11
2021-07-28 15:41:32,11
2021-07-28 15:41:37,11
2021-07-28 15:41:43,11
2021-07-28 15:41:54,11
2021-07-28 15:42:00,11
2021-07-28 15:42:18,11
2021-07-28 15:42:23,11
2021-07-28 15:42:41,11
2021-07-28 15:42:52,11
2021-07-28 15:42:58,11
2021-07-28 15:43:09,11
2021-07-28 15:43:15,11
2021-07-28 15:43:21,11
2021-07-28 15:43:38,11
2021-07-28 15:43:49,11
2021-07-28 15:43:55,11
2021-07-28 15:44:00,11
2021-07-28 15:44:06,11
2021-07-28 15:44:12,11
2021-07-28 15:44:24,11
2021-07-28 15:44:41,11
2021-07-28 15:44:53,11
2021-07-28 15:45:04,11
2021-07-28 15:45:10,11
2021-07-28 15:45:22,11
2021-07-28 15:45:27,11
2021-07-28 15:45:33,11
2021-07-28 15:45:39,11
2021-07-28 15:45:45,11
2021-07-28 15:46:02,11
2021-07-28 15:46:08,11
2021-07-28 15:46:13,11
2021-07-28 15:46:19,11
2021-07-28 15:46:25,11
2021-07-28 15:46:30,11
2021-07-28 15:46:42,11
2021-07-28 15:46:53,11
2021-07-28 15:46:59,11
2021-07-28 15:47:05,11
2021-07-28 15:47:10,11
2021-07-28 15:47:34,11
2021-07-28 15:47:39,11
2021-07-28 15:47:45,11
2021-07-28 15:47:57,11
2021-07-28 15:48:14,11
2021-07-28 15:48:20,11
2021-07-28 15:48:26,11
2021-07-28 15:48:32,11
2021-07-28 15:48:55,11
2021-07-28 15:49:01,11
2021-07-28 15:49:07,11
2021-07-28 15:49:13,11
2021-07-28 15:49:18,11
2021-07-28 15:49:24,11
2021-07-28 15:49:42,11.1
2021-07-28 15:49:48,11.1
2021-07-28 15:49:53,11
2021-07-28 15:49:59,11
2021-07-28 15:50:05,11
2021-07-28 15:50:11,11
2021-07-28 15:50:16,11
2021-07-28 15:50:34,11
2021-07-28 15:50:40,11.1
2021-07-28 15:50:45,11
2021-07-28 15:51:09,11
2021-07-28 15:51:15,11.1
2021-07-28 15:51:20,11
2021-07-28 15:51:26,11
2021-07-28 15:51:32,11
2021-07-28 15:51:38,11
2021-07-28 15:51:43,11
2021-07-28 15:52:06,11
2021-07-28 15:52:18,11
2021-07-28 15:52:23,11
2021-07-28 15:52:29,11
2021-07-28 15:52:41,11
2021-07-28 15:52:46,11
2021-07-28 15:52:52,11
2021-07-28 15:52:58,11
2021-07-28 15:53:10,11
2021-07-28 15:53:16,10.9
2021-07-28 15:53:27,11
2021-07-28 15:53:33,11
2021-07-28 15:53:39,11
2021-07-28 15:53:45,11
2021-07-28 15:53:50,11
2021-07-28 15:53:56,11
