Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_36.vsi - 40x_02 #3,02ad54dc-0151-49ef-9f13-bf9a80f15d75,AVPE,,Image,Polygon,726.54,1536.9,1672,5,15,1,1651,1.256,2.273,2,2,4,702194,4194.7
Image_36.vsi - 40x_02 #3,bf69adac-67ad-4822-8e15-893d98d962cd,LPO,,Image,Rectangle,1920.1,707.93,880,2,4,1,873,0.7955,1.477,1,2,3,604853.7,3124.9
Image_36.vsi - 40x_03 #5,b81abda4-59d7-4fd4-8b2a-152d7c51f1d9,AVPE,,Image,Polygon,919.23,1828.4,1983,13,46,14,1910,3.681,7.413,2,2,4,706433.8,4309.4
Image_36.vsi - 40x_03 #5,de9aa413-d4f7-4667-986e-79d1a15839ab,LPO,,Image,Rectangle,1792,823.65,953,0,16,8,929,2.518,5.876,2,2,4,587654.4,3070.6
Image_37.vsi - 40x_01 #1,4de5e8bb-7ebb-409f-b83f-d8588e917256,AVPE,,Image,Polygon,1489.6,2246.2,1232,2,3,,1227,0.4058,0.6494,1,1,2,706485.1,4071.6
Image_37.vsi - 40x_01 #1,1da158ab-5543-41a9-a22b-64043a890b63,MnPO,,Image,Geometry,1443,1130.8,707,2,3,,702,0.7072,1.132,1,1,2,284113.6,3193.8
Image_37.vsi - 40x_01 #1,b285bffb-a5cd-4ad8-b785-33350c3ebaba,LPO,,Image,Rectangle,471.74,1744.2,872,1,0,,871,0.1147,0.1147,1,1,2,590352.8,3094.7
Image_37.vsi - 40x_04 #7,0b0108a0-9ed3-41e1-9f47-ca9b57582b7c,OVLT,,Image,Polygon,2001,2217,143,0,0,0,143,0,0,0,0,0,35242.4,787.8
Image_37.vsi - 40x_04 #7,e032c616-aabc-476f-8e55-a326d5cbac1e,AVPE,,Image,Geometry,1962.2,2056.7,1569,56,52,4,1457,7.138,10.96,2,1,3,731768.7,6248.2
Image_37.vsi - 40x_04 #7,2a802e7b-5f9f-4f5c-ac25-990c0385cba4,MnPO,,Image,Polygon,1933.4,1200.4,689,2,6,2,679,1.451,2.903,2,2,4,313981,2202
Image_37.vsi - 40x_04 #7,0f3ea32c-800c-443b-aa62-43c616fffdf5,LPO,,Image,Rectangle,847.21,1335.1,1192,0,3,0,1189,0.2517,0.5034,1,2,3,610384.2,3129.1
Image_05.vsi - 40x_01 #1,e65d0f78-2762-4437-b8b6-d88583e7f16e,OVLT,,Image,Polygon,1756.5,2412.9,332,0,0,0,332,0,0,0,0,0,89031.3,1389.7
Image_05.vsi - 40x_01 #1,f01b327b-b1aa-40cb-aba3-5cb79b2df815,AVPE,,Image,Polygon,1723.2,2107.2,1498,9,24,5,1460,2.537,4.806,2,2,4,709700.2,3999.4
Image_05.vsi - 40x_01 #1,25c6b61b-bbd0-45e4-9c30-b0a7879f4e56,MnPO,,Image,Polygon,1711.4,1203.8,741,4,2,0,735,0.8097,1.08,1,1,2,355543.6,3063.8
Image_05.vsi - 40x_01 #1,b0373cd3-a5fe-4574-a50e-59dfc5fcc728,LPO,,Image,Rectangle,818.14,1434.8,870,2,4,0,864,0.6897,1.149,1,1,2,610051.3,3134
Image_05.vsi - 40x_02 #3,734fe4d7-1eea-4340-91fc-bb43be622ec4,OVLT,,Image,Polygon,1649.5,2161,339,0,0,0,339,0,0,0,0,0,78512.4,1625.7
Image_05.vsi - 40x_02 #3,ab74caab-bdda-4a2d-94bb-8665b984b75e,AVPE,,Image,Polygon,1645.9,1835.3,1505,5,22,6,1472,2.193,4.452,2,2,4,707282.3,4412.2
Image_05.vsi - 40x_02 #3,0aea7a42-2fa0-46de-8322-23d61857aefd,MnPO,,Image,Polygon,1446.3,898.98,703,28,4,1,670,4.694,5.548,2,1,3,316084.3,2874.9
Image_05.vsi - 40x_02 #3,d2566e62-1042-4331-a240-d350706173e9,LPO,,Image,Rectangle,2351.1,991.99,883,8,8,3,864,2.152,3.737,2,2,4,617409.9,3147.6
Image_05.vsi - 40x_03 #5,2a21ca6a-8daa-410f-a9ca-591fcd7900dd,AVPE,,Image,Geometry,1490.9,1563.3,1511,13,30,24,1444,4.434,9.596,2,2,4,720863.5,4941.8
