"","Name","ID","group","num_det_mean","num_neg_mean","num_pos_mean","fraq_pos_mean","area_mean","pos_th_mean","neg_th_mean"
"84","BTAN","H038","T40",207.75,207,0.75,0.306,30051.95,478.27795,29568.3823
"85","BTAN","H069","T40",273.444444444444,265.111111111111,8.33333333333333,3.13444444444444,27059.5777777778,1139.70402222222,25920.3787888889
"86","BTAN","H074","T40",189.666666666667,184.833333333333,4.83333333333333,2.99295,19210.85,675.930533333333,18534.4928333333
"87","BTAN","H216","A1",366,362,4,1.1639,34494.4333333333,837.939466666667,33656.1783666667
"88","BTAN","H222","A1",245.333333333333,237,8.33333333333333,3.15156666666667,23382.9666666667,802.1191,22585.445
"89","BTAN","H224","IBE1",174,173.5,0.5,0.33335,18100.75,116.76305,17997.3359
"90","BTAN","H236","A2",258.142857142857,245.857142857143,12.2857142857143,5.66471428571429,22555.2142857143,1211.69021428571,21344.8017428571
"91","BTAN","H241","ENT",202.333333333333,202.333333333333,0,0,35701.6333333333,136.4813,35567.6269333333
"92","BTAN","H243","ENT",345.666666666667,344.666666666667,1,0.36,32186.0333333333,380.3176,31806.3535
"93","BTAN","H248","A2",362,346.166666666667,15.8333333333333,4.75,37104.5166666667,2137.21635,34967.0514333333
"94","BTAN","H254","ENT",279.5,279.5,0,0,30072.1,224.07915,29845.96775
"95","BTAN","H263","A1",165.666666666667,164,1.66666666666667,1.09653333333333,13844.2,253.535633333333,13589.3124666667
"96","BTAN","H264","IBE1",314.75,311.25,3.5,1.030625,25664.275,448.0397,25218.845675
"97","BTAN","H268","IBE1",287.666666666667,287.333333333333,0.333333333333333,0.113766666666667,22779.2666666667,56.8838,22724.8951666667
"98","BTAN","H273","A2",297,297,0,0,24845,127.8307,24735.2715
"99","BTAN","H274","IBE2",284,283.666666666667,1,0.0839666666666667,31400.4666666667,37.7615666666667,31350.1764333333
"100","BTAN","H275","IBE2",285.333333333333,285,0.5,0.0936333333333333,31166.9,148.314466666667,31011.9570666667
"101","BTAN","H276","A1",292.5,280.5,12,3.5855,26970.825,1151.53,25815.7776
"102","BTAN","H278","IBE1",236.5,234.75,1.75,0.595125,21097.725,206.384175,20888.0979
"103","BTAN","H298","A1",297.25,278.75,18.5,7.62125,27527.975,841.156525,26689.438
"104","BTAN","H300","A2",311.333333333333,292.333333333333,19,8.5013,37388.8333333333,1593.39023333333,35793.9873
"105","BTAN","H301","IBE2",180.818181818182,180.454545454545,0.444444444444444,0.183936363636364,15035.1909090909,85.9582818181818,14950.4708272727
"106","BTAN","H319","ENT",235,233.25,1.75,0.687125,25738.125,126.440625,25599.07005
"107","BTAN","H327","IBE2",177.4,177,0.666666666666667,0.19118,20921.62,107.45048,20811.41562
"108","CP","H028","T40",1172.16666666667,1005.66666666667,166.5,13.6533833333333,173364.083333333,28771.1673,144579.58595
"109","CP","H038","T40",1066.75,314.5,752.25,73.9875,238732.9,192544.396475,46144.593125
"110","CP","H069","T40",1246.5,163,1083.5,82.425,165069.55,146528.07715,18481.9345166667
"111","CP","H074","T40",998.166666666667,109.833333333333,888.333333333333,86.0833333333333,155464.733333333,142912.45475,12525.15545
"112","CP","H211","IBE2",925.666666666667,925.666666666667,NA,0,114645.566666667,38.8595333333333,114608.994133333
"113","CP","H224","IBE1",447.75,436.75,11,2.6098,57195.3,1449.47165,55733.962875
"114","CP","H230","ENT",1421,788.5,632.5,34.37,199408,32368.3823,167045.0332
"115","CP","H241","ENT",623.6,616,9.5,0.95114,120059.12,1540.41956,118500.1
